abacuses.app,unavailable
abalone.app,unavailable
abalones.app,21.49
abandonee.app,21.49
abandonees.app,21.49
abandonment.app,21.49
abandonments.app,21.49
abattises.app,21.49
abdication.app,21.49
abdications.app,21.49
abdicator.app,21.49
abdicators.app,21.49
aberrancies.app,21.49
aberrancy.app,21.49
aberration.app,21.49
aberrations.app,21.49
abeyances.app,21.49
abhorrences.app,21.49
abidances.app,21.49
abilities.app,unavailable
ability.app,unavailable
abiosis.app,21.49
abjuration.app,21.49
abjurations.app,21.49
ablactation.app,21.49
abnegation.app,21.49
abnegations.app,21.49
abnegator.app,21.49
abnegators.app,21.49
abnormities.app,21.49
abnormity.app,21.49
abolisher.app,21.49
abolishers.app,21.49
abolishment.app,21.49
abolishments.app,21.49
abolition.app,21.49
abolitions.app,21.49
abomasum.app,21.49
abomasus.app,21.49
abondances.app,21.49
aborticide.app,21.49
aborticides.app,21.49
abortionist.app,21.49
abortionists.app,21.49
abortiveness.app,21.49
aboulia.app,21.49
abraxases.app,21.49
abreaction.app,21.49
abreactions.app,21.49
abrogation.app,21.49
abrogations.app,21.49
abrogator.app,21.49
abrogators.app,21.49
absenteeism.app,21.49
absoluteness.app,21.49
absolution.app,21.49
absolutions.app,21.49
absolutism.app,21.49
absolutist.app,21.49
absolutists.app,21.49
absorbencies.app,21.49
absorbency.app,21.49
absorptiveness.app,21.49
abstinences.app,21.49
abstractedness.app,21.49
abstractionism.app,21.49
abstractionist.app,21.49
abstractionists.app,21.49
absurdities.app,21.49
absurdity.app,21.49
absurdnesses.app,21.49
abulia.app,21.49
abundances.app,21.49
abusages.app,21.49
abusiveness.app,21.49
abutilon.app,21.49
abutilons.app,21.49
academism.app,21.49
acalephes.app,21.49
acanthuses.app,21.49
acapnia.app,21.49
acaricide.app,21.49
acaricides.app,21.49
acaridan.app,21.49
acaridans.app,21.49
accedences.app,21.49
accelerant.app,unavailable
accelerants.app,21.49
acceptances.app,21.49
acceptancy.app,21.49
acceptation.app,21.49
acceptations.app,21.49
accessaries.app,21.49
accessary.app,21.49
accidental.app,18.43
accidentals.app,21.49
accipiter.app,21.49
accipiters.app,21.49
acclamation.app,21.49
acclamations.app,21.49
acclimation.app,21.49
acclimations.app,21.49
acclivities.app,21.49
acclivity.app,21.49
accompanist.app,21.49
accompanists.app,21.49
accomplices.app,21.49
accomplisher.app,unavailable
accomplishers.app,21.49
accomplishment.app,21.49
accomplishments.app,21.49
accordances.app,21.49
accoucheuses.app,21.49
accountancies.app,21.49
accountancy.app,unavailable
accountantship.app,21.49
accouterment.app,21.49
accouterments.app,21.49
accoutrement.app,21.49
accoutrements.app,unavailable
accumbency.app,21.49
accuracies.app,21.49
accuracy.app,79.5
accurateness.app,21.49
accursedness.app,21.49
accusation.app,21.49
accusations.app,21.49
accusative.app,21.49
accusatives.app,21.49
accustomedness.app,21.49
acedia.app,21.49
acerbities.app,21.49
acerbity.app,21.49
acescency.app,21.49
acetamide.app,21.49
acetylene.app,21.49
achimenes.app,21.49
achromatin.app,21.49
achromatins.app,21.49
achromatism.app,21.49
acidity.app,21.49
acidosis.app,21.49
acidulent.app,21.49
acknowledgement.app,21.49
acknowledgements.app,unavailable
acknowledgment.app,21.49
acknowledgments.app,21.49
aconitum.app,21.49
aconitums.app,21.49
acouchies.app,21.49
acoustician.app,21.49
